;acc_bact;design_phage;id_bact;id_phage;
51;NC_018289.1;Mycobacterium_phage_AltPhacts;5859;2007;
52;NC_018289.1;Mycobacterium_phage_Altwerkus;5859;2008;
53;NC_018289.1;Mycobacterium_phage_Alvin;5859;5332;
54;NC_018750.1;Streptomyces_phage_Amela;126;5333;
55;NC_018289.1;Mycobacterium_phage_Amelie;5859;2009;
56;NC_018289.1;Mycobacterium_phage_Amgine;5859;2010;
57;NZ_CP014196.1;Arthrobacter_phage_Amigo;153;2011;
58;NC_018289.1;Mycobacterium_phage_Amohnition;5859;2012;
59;NZ_CP016594.1;Gordonia_phage_Anamika;1869;2013;
60;NZ_CP014196.1;Arthrobacter_phage_Anansi;153;2014;
61;NC_018289.1;Mycobacterium_phage_Anaya;5859;2016;
62;NC_018289.1;Mycobacterium_phage_Andies;5859;2017;
63;NC_018289.1;Mycobacterium_phage_Angel;5859;5334;
64;NC_018289.1;Mycobacterium_phage_Angelica;5859;2018;
65;NZ_CP016594.1;Gordonia_phage_Angelicage;1869;2019;
66;NZ_CP016594.1;Gordonia_phage_Angelique;1869;2020;
67;NC_018289.1;Mycobacterium_phage_Anglerfish;5859;2021;
68;NC_018289.1;Mycobacterium_phage_AnnaL29;5859;5335;
69;NC_018289.1;Mycobacterium_phage_Annihilator;5859;2024;
70;NC_018289.1;Mycobacterium_phage_Annyong;5859;2025;
71;NZ_CP016594.1;Gordonia_phage_Anon;1869;2026;
72;NC_018289.1;Mycobacterium_phage_Anselm;5859;2027;
73;NZ_CP016594.1;Gordonia_phage_Antonio;1869;2028;
74;NC_018289.1;Mycobacterium_phage_Anubis;5859;5336;
75;NZ_CP016594.1;Gordonia_phage_Aphelion;1869;2029;
76;NC_018289.1;Mycobacterium_phage_Apizium;5859;5337;
77;NC_018289.1;Mycobacterium_phage_Apocalypse;5859;2030;
78;NC_018289.1;Mycobacterium_phage_Appletree2;5859;2032;
79;NZ_CP016594.1;Gordonia_phage_Apricot;1869;2033;
80;NZ_JNHS00000000.1;Propionibacterium_phage_Aquarius;5731;2034;
81;NC_018289.1;Mycobacterium_phage_Aragog;5859;2035;
82;NC_018289.1;Mycobacterium_phage_Arbiter;5859;2036;
83;NZ_CP014196.1;Arthrobacter_phage_Arcadia;153;2037;
84;NC_018289.1;Mycobacterium_phage_Arcanine;5859;2038;
85;NC_018289.1;Mycobacterium_phage_ArcherNM;5859;5338;
86;NC_018289.1;Mycobacterium_phage_ArcherS7;5859;5339;
87;NC_018289.1;Mycobacterium_phage_Archetta;5859;2039;
88;NC_018289.1;Mycobacterium_phage_Archie;5859;5340;
89;NC_018289.1;Mycobacterium_phage_ArcusAngelus;5859;2040;
90;NC_018289.1;Mycobacterium_phage_Ardmore;5859;2041;
91;NC_018289.1;Mycobacterium_phage_Ares;5859;2042;
92;NC_018289.1;Mycobacterium_phage_Arib1;5859;2043;
93;NC_018289.1;Mycobacterium_phage_Ariel;5859;5341;
94;NC_018289.1;Mycobacterium_phage_Aroostook;5859;2044;
95;NC_018289.1;Mycobacterium_phage_Artemis2UCLA;5859;5342;
96;NC_018289.1;Mycobacterium_phage_Arturo;5859;2045;
97;NZ_CP016594.1;Gordonia_phage_Asapag;1869;2048;
98;NZ_CP016594.1;Gordonia_phage_Ashertheman;1869;2050;
99;NC_018289.1;Mycobacterium_phage_Ashraf;5859;2051;
100;NC_018289.1;Mycobacterium_phage_Asriel;5859;2052;
101;NC_018289.1;Mycobacterium_phage_Astraea;5859;5343;
102;NC_018289.1;Mycobacterium_phage_Astro;5859;2054;
103;NC_018289.1;Mycobacterium_phage_Athena;5859;2057;
104;NC_018289.1;Mycobacterium_phage_Atiba;5859;2058;
105;NC_018289.1;Mycobacterium_phage_Atkinbua;5859;2059;
106;NC_018289.1;Mycobacterium_phage_Atlantean;5859;2060;
107;NZ_JNHS00000000.1;Propionibacterium_phage_Attacne;5731;5344;
108;NZ_CP016594.1;Gordonia_phage_Attis;1869;2061;
109;NC_018289.1;Mycobacterium_phage_Audrey;5859;2062;
110;NC_018289.1;Mycobacterium_phage_Audrick;5859;2063;
111;NC_018289.1;Mycobacterium_phage_AugsMagnumOpus;5859;2064;
112;NC_018750.1;Streptomyces_phage_Austintatious;126;2065;
113;NC_018289.1;Mycobacterium_phage_Ava3;5859;2066;
114;NC_018289.1;Mycobacterium_phage_AvadaKedavra;5859;2067;
115;NC_018289.1;Mycobacterium_phage_Avani;5859;2068;
116;NC_018289.1;Mycobacterium_phage_AvatarAhPeg;5859;2069;
117;NC_018289.1;Mycobacterium_phage_Avocado;5859;2070;
118;NC_018289.1;Mycobacterium_phage_Avrafan;5859;2071;
119;NC_018289.1;Mycobacterium_phage_Awesomesauce;5859;2072;
120;NZ_CP014196.1;Arthrobacter_phage_Azathoth;153;2073;
121;NC_018289.1;Mycobacterium_phage_BabeRuth;5859;2076;
122;NC_018289.1;Mycobacterium_phage_BaboJay;5859;2077;
123;NC_018289.1;Mycobacterium_phage_Babsiella;5859;2078;
124;NC_018289.1;Mycobacterium_phage_Baby16;5859;2079;
125;NC_018289.1;Mycobacterium_phage_BabyRay;5859;2081;
126;NZ_CP016594.1;Gordonia_phage_Bachita;1869;5345;
127;NC_018289.1;Mycobacterium_phage_Bachome;5859;2082;
128;NC_018289.1;Mycobacterium_phage_Backyardigan;5859;2083;
129;NC_018289.1;Mycobacterium_phage_Bactobuster;5859;5346;
130;NC_018289.1;Mycobacterium_phage_BadAgartude;5859;2084;
131;NC_018289.1;Mycobacterium_phage_Badfish;5859;5347;
132;NC_018289.1;Mycobacterium_phage_Badger;5859;2085;
133;NC_018289.1;Mycobacterium_phage_Baee;5859;5348;
134;NC_018289.1;Mycobacterium_phage_Baehexic;5859;2086;
135;NC_018289.1;Mycobacterium_phage_BAKA;5859;2087;
136;NC_018289.1;Mycobacterium_phage_Bangla1971;5859;2089;
137;NC_018289.1;Mycobacterium_phage_Banjo;5859;2090;
138;NZ_CP016594.1;Gordonia_phage_Banquo;1869;2091;
139;NZ_CP016594.1;Gordonia_phage_Bantam;1869;5349;
140;NZ_CP016594.1;Gordonia_phage_Barb;1869;2092;
141;NC_018289.1;Mycobacterium_phage_Barbarian;5859;2093;
142;NZ_CP016594.1;Gordonia_phage_Barco;1869;2094;
143;NC_018289.1;Mycobacterium_phage_Barnyard;5859;5350;
144;NC_018289.1;Mycobacterium_phage_BarrelRoll;5859;5351;
145;NZ_CP014196.1;Arthrobacter_phage_BarretLemon;153;5352;
146;NC_018289.1;Mycobacterium_phage_Barriga;5859;5353;
147;NC_018289.1;Mycobacterium_phage_Bartholomew;5859;2095;
148;NC_018289.1;Mycobacterium_phage_Bartimeaus;5859;2096;
149;NC_018289.1;Mycobacterium_phage_Bask21;5859;2097;
150;NC_018289.1;Mycobacterium_phage_Batiatus;5859;2098;
151;NZ_CP016594.1;Gordonia_phage_BatStarr;1869;2099;
152;NC_018289.1;Mycobacterium_phage_BatteryCK;5859;2100;
153;NZ_CP016594.1;Gordonia_phage_BaxterFox;1869;5354;
154;NZ_CP014196.1;Arthrobacter_phage_Beans;153;2102;
155;NC_018289.1;Mycobacterium_phage_BeanWater;5859;2103;
156;NC_018289.1;Mycobacterium_phage_Beatrix;5859;2104;
157;NZ_CP014196.1;Arthrobacter_phage_BeatusComedenti;153;2105;
158;NC_018289.1;Mycobacterium_phage_Beauxregard13;5859;2106;
159;NZ_CP016594.1;Gordonia_phage_Beenie;1869;2107;
160;NC_018289.1;Mycobacterium_phage_BeesKnees;5859;2108;
161;NC_018289.1;Mycobacterium_phage_BEEST;5859;2109;
162;NC_018289.1;Mycobacterium_phage_Beezoo;5859;2110;
163;NC_018289.1;Mycobacterium_phage_Bella96;5859;2112;
164;NC_018289.1;Mycobacterium_phage_Belladonna;5859;2113;
165;NC_018289.1;Mycobacterium_phage_BellusTerra;5859;5355;
166;NZ_CP016594.1;Gordonia_phage_Benczkowski14;1869;2114;
167;NC_018289.1;Mycobacterium_phage_Benedict;5859;2115;
168;NZ_CP014196.1;Arthrobacter_phage_Bennie;153;2116;
169;NZ_CP016594.1;Gordonia_phage_BENtherdunthat;1869;2117;
170;NC_018289.1;Mycobacterium_phage_Bernal13;5859;5356;
171;NC_018289.1;Mycobacterium_phage_Bernardo;5859;5357;
172;NC_018289.1;Mycobacterium_phage_Bethlehem;5859;2118;
173;NZ_CP016594.1;Gordonia_phage_BetterKatz;1869;5358;
174;NZ_CP016594.1;Gordonia_phage_Beyoncage;1869;2119;
175;NZ_CP016594.1;Gordonia_phage_Bialota;1869;2120;
176;NC_018289.1;Mycobacterium_phage_BiancaTri92;5859;2121;
177;NZ_CP016594.1;Gordonia_phage_Bibwit;1869;2122;
178;NC_018289.1;Mycobacterium_phage_Big3;5859;2123;
179;NC_018289.1;Mycobacterium_phage_BigCheese;5859;2124;
180;NC_018289.1;Mycobacterium_phage_Bigfoot;5859;2125;
181;NC_018289.1;Mycobacterium_phage_Biglebops;5859;2126;
182;NZ_CP014196.1;Arthrobacter_phage_BigMack;153;2127;
183;NC_018289.1;Mycobacterium_phage_BigMama;5859;2128;
184;NC_018289.1;Mycobacterium_phage_BigNuz;5859;5359;
185;NC_018289.1;Mycobacterium_phage_BigPhil;5859;2129;
186;NC_018289.1;Mycobacterium_phage_Bigswole;5859;2130;
187;NC_018289.1;Mycobacterium_phage_BillKnuckles;5859;2131;
188;NZ_APVM00000000.1;Streptomyces_phage_Bing;5787;2132;
189;NC_018750.1;Streptomyces_phage_Bioscum;126;2133;
190;NZ_CP016594.1;Gordonia_phage_BiPauneto;1869;2134;
191;NC_018289.1;Mycobacterium_phage_Bipolar;5859;5360;
192;NC_018289.1;Mycobacterium_phage_Bipolarisk;5859;2135;
193;NC_018289.1;Mycobacterium_phage_Bipper;5859;5361;
194;NC_018289.1;Mycobacterium_phage_Bircsak;5859;2137;
195;NZ_CP016594.1;Gordonia_phage_BirksAndSocks;1869;2138;
196;NZ_CP016594.1;Gordonia_phage_Bjanes7;1869;2139;
197;NC_018289.1;Mycobacterium_phage_Blackbeetle;5859;2140;
198;NC_018289.1;Mycobacterium_phage_Blackmoor;5859;2141;
199;NC_018289.1;Mycobacterium_phage_BlackStallion;5859;2142;
200;NZ_CP014196.1;Arthrobacter_phage_Blair;153;2143;
201;NC_018289.1;Mycobacterium_phage_Blue;5859;2144;
202;NC_018289.1;Mycobacterium_phage_Blue7;5859;5362;
203;NZ_CP016594.1;Gordonia_phage_Blueberry;1869;5363;
204;NC_018289.1;Mycobacterium_phage_Bob3;5859;2146;
205;NC_018289.1;Mycobacterium_phage_BobaPhett;5859;2147;
206;NC_018289.1;Mycobacterium_phage_Bobby;5859;2148;
207;NC_018289.1;Mycobacterium_phage_Bobi;5859;5364;
208;NC_018289.1;Mycobacterium_phage_BobsGarage;5859;2150;
209;NC_018289.1;Mycobacterium_phage_BobSwaget;5859;2151;
210;NZ_CP016594.1;Gordonia_phage_Bock;1869;2152;
211;NZ_CP014196.1;Arthrobacter_phage_Boersma;153;2153;
212;NC_018289.1;Mycobacterium_phage_Bogie;5859;2154;
213;NZ_CP016594.1;Gordonia_phage_Boneham;1869;2156;
214;NC_018289.1;Mycobacterium_phage_Bongo;5859;2157;
215;NC_018289.1;Mycobacterium_phage_Boomer;5859;2158;
216;NZ_CP014196.1;Arthrobacter_phage_BossLady;153;2159;
217;NZ_CP016594.1;Gordonia_phage_Bowser;1869;5365;
218;NC_018289.1;Mycobacterium_phage_Bowtie;5859;2161;
219;NC_018289.1;Mycobacterium_phage_Boyle;5859;2162;
220;NC_018289.1;Mycobacterium_phage_BPBiebs31;5859;2163;
221;NC_018289.1;Mycobacterium_phage_BPs;5859;2164;
222;NC_018289.1;Mycobacterium_phage_BQuat;5859;2165;
223;NZ_CP014196.1;Arthrobacter_phage_Brad;153;2166;
224;NZ_CP016594.1;Gordonia_phage_Brandonk123;1869;2168;
225;NC_018750.1;Streptomyces_phage_Brataylor;126;2169;
226;NC_018289.1;Mycobacterium_phage_Breeniome;5859;5366;
227;NC_018289.1;Mycobacterium_phage_Breezona;5859;2170;
228;NZ_CP014196.1;Arthrobacter_phage_Brent;153;2171;
229;NZ_CP014196.1;Arthrobacter_phage_Breylor17;153;2172;
230;NC_018289.1;Mycobacterium_phage_Bricole;5859;2173;
231;NZ_CP016594.1;Gordonia_phage_BritBrat;1869;5367;
232;NC_018289.1;Mycobacterium_phage_Briton15;5859;2174;
233;NC_018289.1;Mycobacterium_phage_Brocalys;5859;5368;
234;NC_018289.1;Mycobacterium_phage_Broseidon;5859;2176;
235;NC_018289.1;Mycobacterium_phage_Brownie5;5859;2177;
236;NC_018289.1;Mycobacterium_phage_BruceB;5859;2178;
237;NZ_JNHS00000000.1;Propionibacterium_phage_BruceLethal;5731;5369;
238;NC_018289.1;Mycobacterium_phage_Bruin;5859;5370;
239;NC_018289.1;Mycobacterium_phage_Bruiser;5859;2179;
240;NC_018289.1;Mycobacterium_phage_Brujita;5859;2180;
241;NC_018289.1;Mycobacterium_phage_Bruns;5859;2181;
242;NC_018289.1;Mycobacterium_phage_Brusacoram;5859;5371;
243;NC_018289.1;Mycobacterium_phage_Bubbles123;5859;2184;
244;NC_018289.1;Mycobacterium_phage_BubbleTrouble;5859;2185;
245;NC_018289.1;Mycobacterium_phage_Buck;5859;2186;
246;NC_018289.1;Mycobacterium_phage_Buckeye;5859;2187;
247;NC_018289.1;Mycobacterium_phage_Bud;5859;2188;
248;NZ_CP016594.1;Gordonia_phage_Buggaboo;1869;2189;
249;NC_018289.1;Mycobacterium_phage_Bugsy;5859;2190;
250;NC_018289.1;Mycobacterium_phage_Bumblebee11;5859;2191;
251;NC_018289.1;Mycobacterium_phage_Bunnies;5859;2192;
252;NC_018289.1;Mycobacterium_phage_Burger;5859;2193;
253;NZ_CP016594.1;Gordonia_phage_Butterball;1869;2194;
254;NC_018289.1;Mycobacterium_phage_Butters;5859;5372;
255;NC_018289.1;Mycobacterium_phage_Butterscotch;5859;2195;
256;NC_018289.1;Mycobacterium_phage_Buttons;5859;2196;
257;NC_018289.1;Mycobacterium_phage_BuzzBuzz;5859;2197;
258;NC_018289.1;Mycobacterium_phage_BuzzLyseyear;5859;5373;
259;NC_018289.1;Mycobacterium_phage_Bxb1;5859;2198;
260;NC_018289.1;Mycobacterium_phage_Bxz1;5859;5374;
261;NC_018289.1;Mycobacterium_phage_Bxz2;5859;2199;
262;NC_018289.1;Mycobacterium_phage_Byougenkin;5859;2200;
263;NZ_CP014475.1;Mycobacterium_phage_Cabrinians;61;5375;
264;NC_018289.1;Mycobacterium_phage_Cactus;5859;2202;
265;NC_018289.1;Mycobacterium_phage_CactusRose;5859;2203;
266;NC_018289.1;Mycobacterium_phage_Caelakin;5859;2204;
267;NZ_APVM00000000.1;Streptomyces_phage_Caelum;5787;2205;
268;NC_018289.1;Mycobacterium_phage_Cain;5859;2206;
269;NC_018289.1;Mycobacterium_phage_Cali;5859;2207;
270;NZ_CP014196.1;Arthrobacter_phage_CallieOMalley;153;2208;
271;NC_018289.1;Mycobacterium_phage_Cambiare;5859;5377;
272;NC_018289.1;Mycobacterium_phage_Camperdownii;5859;2209;
273;NC_018289.1;Mycobacterium_phage_Cannibal;5859;2210;
274;NZ_CP014196.1;Arthrobacter_phage_Canowicakte;153;2211;
275;NZ_CP014196.1;Arthrobacter_phage_CapnMurica;153;2212;
276;NC_018289.1;Mycobacterium_phage_Capricorn;5859;2213;
277;NZ_CP016594.1;Gordonia_phage_CaptainKirk2;1869;5378;
278;NC_018289.1;Mycobacterium_phage_CaptainTrips;5859;5379;
279;NC_018289.1;Mycobacterium_phage_Carcharodon;5859;5380;
280;NZ_CP016594.1;Gordonia_phage_CarolAnn;1869;5381;
281;NC_018289.1;Mycobacterium_phage_Catalina;5859;5382;
282;NC_018289.1;Mycobacterium_phage_Catdawg;5859;5383;
283;NC_018289.1;Mycobacterium_phage_Catera;5859;5384;
284;NZ_CP014196.1;Arthrobacter_phage_Caterpillar;153;2214;
285;NC_018289.1;Mycobacterium_phage_Cborch11;5859;2215;
286;NC_018289.1;Mycobacterium_phage_Cedasite;5859;2216;
287;NC_018289.1;Mycobacterium_phage_Centaur;5859;2217;
288;NC_018289.1;Mycobacterium_phage_CentreCat;5859;2218;
289;NC_018289.1;Mycobacterium_phage_Cerasum;5859;5385;
290;NC_018289.1;Mycobacterium_phage_Cerulean;5859;2219;
291;NZ_CP014196.1;Arthrobacter_phage_CGermain;153;2220;
292;NC_018289.1;Mycobacterium_phage_Chadwick;5859;5386;
293;NC_018289.1;Mycobacterium_phage_Chah;5859;2222;
294;NC_018289.1;Mycobacterium_phage_ChampagnePapi;5859;2223;
295;NC_018289.1;Mycobacterium_phage_Chance64;5859;2224;
296;NC_018289.1;Mycobacterium_phage_Chancellor;5859;2225;
297;NC_018289.1;Mycobacterium_phage_Chandler;5859;2226;
298;NC_018289.1;Mycobacterium_phage_Changeling;5859;2227;
299;NC_018289.1;Mycobacterium_phage_Charlie;5859;5387;
300;NC_018289.1;Mycobacterium_phage_CharlieB;5859;2228;
301;NC_018289.1;Mycobacterium_phage_CharlieGBrown;5859;2229;
302;NC_018289.1;Mycobacterium_phage_Charm;5859;2230;
303;NC_018289.1;Mycobacterium_phage_Che12;5859;2231;
304;NC_018289.1;Mycobacterium_phage_Che8;5859;2232;
305;NC_018289.1;Mycobacterium_phage_Che9c;5859;2233;
306;NC_018289.1;Mycobacterium_phage_Che9d;5859;2234;
307;NZ_CP014196.1;Arthrobacter_phage_Cheesy;153;2235;
308;NC_018289.1;Mycobacterium_phage_CheetO;5859;2236;
309;NC_018289.1;Mycobacterium_phage_Cheetobro;5859;5388;
310;NZ_CP016594.1;Gordonia_phage_Chelms;1869;2237;
311;NC_018289.1;Mycobacterium_phage_Cherrybomb426;5859;2238;
312;NZ_CP014196.1;Arthrobacter_phage_Chestnut;153;2239;
313;NC_018289.1;Mycobacterium_phage_ChickenPhender;5859;2241;
314;NC_018289.1;Mycobacterium_phage_Chill;5859;2242;
315;NC_018289.1;Mycobacterium_phage_ChipMunk;5859;2243;
316;NZ_CP014196.1;Arthrobacter_phage_Chipper1996;153;2244;
317;NZ_CP014196.1;Arthrobacter_phage_Chocolat;153;2245;
318;NZ_CP014196.1;Arthrobacter_phage_Cholula;153;2246;
319;NC_018289.1;Mycobacterium_phage_Chorkpop;5859;2247;
320;NC_018289.1;Mycobacterium_phage_ChosenOne;5859;2248;
321;NC_018289.1;Mycobacterium_phage_ChrisnMich;5859;2249;
322;NZ_CP014196.1;Arthrobacter_phage_Christian;153;2250;
323;NZ_CP014196.1;Arthrobacter_phage_Chubster;153;2251;
324;NC_018289.1;Mycobacterium_phage_Chuckly;5859;2252;
325;NC_018289.1;Mycobacterium_phage_Chunky;5859;2253;
326;NC_018289.1;Mycobacterium_phage_Chupacabra;5859;2254;
327;NC_018750.1;Streptomyces_phage_Chymera;126;2255;
328;NC_018289.1;Mycobacterium_phage_Cindaradix;5859;2256;
329;NZ_CP014196.1;Arthrobacter_phage_Circum;153;2257;
330;NC_018289.1;Mycobacterium_phage_Citius;5859;2258;
331;NC_018289.1;Mycobacterium_phage_Cjw1;5859;2259;
332;NC_018289.1;Mycobacterium_phage_Clarenza;5859;2260;
333;NC_018289.1;Mycobacterium_phage_Clautastrophe;5859;2261;
334;NC_018289.1;Mycobacterium_phage_CLED96;5859;2262;
335;NC_018289.1;Mycobacterium_phage_CloudWang3;5859;5389;
336;NZ_CP016594.1;Gordonia_phage_ClubL;1869;5390;
337;NC_018289.1;Mycobacterium_phage_Cobra;5859;2263;
338;NC_018289.1;Mycobacterium_phage_Cocoaberry;5859;2264;
339;NZ_CP016594.1;Gordonia_phage_Coeur;1869;2265;
340;NC_018289.1;Mycobacterium_phage_Coffee;5859;2266;
341;NC_018289.1;Mycobacterium_phage_Colbert;5859;5391;
342;NC_018289.1;Mycobacterium_phage_Collard;5859;2267;
343;NC_018289.1;Mycobacterium_phage_Colt;5859;2268;
344;NZ_CP014196.1;Arthrobacter_phage_Colucci;153;2269;
345;NC_018289.1;Mycobacterium_phage_Command613;5859;2270;
346;NC_018289.1;Mycobacterium_phage_Commander;5859;2271;
347;NC_018289.1;Mycobacterium_phage_Compostia;5859;2272;
348;NZ_CP014196.1;Arthrobacter_phage_Conboy;153;2274;
349;NC_018289.1;Mycobacterium_phage_ConceptII;5859;2275;
350;NZ_CP016594.1;Gordonia_phage_Confidence;1869;2276;
351;NC_018289.1;Mycobacterium_phage_Connomayer;5859;2277;
352;NC_018289.1;Mycobacterium_phage_Conquerage;5859;2278;
353;NC_018289.1;Mycobacterium_phage_Conspiracy;5859;5392;
354;NC_018289.1;Mycobacterium_phage_Contagion;5859;5393;
355;NC_018289.1;Mycobacterium_phage_Coog;5859;2279;
356;NC_018289.1;Mycobacterium_phage_Cookies;5859;2280;
357;NC_018289.1;Mycobacterium_phage_Cooper;5859;5394;
358;NZ_CP014196.1;Arthrobacter_phage_Copper;153;2281;
359;NC_018289.1;Mycobacterium_phage_Corndog;5859;2282;
360;NC_018289.1;Mycobacterium_phage_Cornie;5859;2283;
361;NC_018289.1;Mycobacterium_phage_Cornucopia;5859;2284;
362;NC_018289.1;Mycobacterium_phage_Corofin;5859;2285;
363;NZ_CP014196.1;Arthrobacter_phage_Correa;153;2286;
364;NC_018289.1;Mycobacterium_phage_Corvo;5859;2287;
365;NC_018289.1;Mycobacterium_phage_Cosmo;5859;2288;
366;NC_018289.1;Mycobacterium_phage_Cosmolli16;5859;2289;
367;NZ_JNHS00000000.1;Propionibacterium_phage_Cota;5731;2290;
368;NC_018289.1;Mycobacterium_phage_Courthouse;5859;2291;
369;NZ_CP014196.1;Arthrobacter_phage_Courtney3;153;2292;
370;NZ_CP016594.1;Gordonia_phage_Cozz;1869;5396;
371;NC_018289.1;Mycobacterium_phage_Craff;5859;2293;
372;NC_018289.1;Mycobacterium_phage_CRB1;5859;5397;
373;NC_018289.1;Mycobacterium_phage_CREW;5859;2294;
374;NC_018289.1;Mycobacterium_phage_CrimD;5859;2295;
375;NC_018289.1;Mycobacterium_phage_Crispicous1;5859;2296;
376;NC_018289.1;Mycobacterium_phage_Crossroads;5859;2298;
377;NC_018289.1;Mycobacterium_phage_Crownjwl;5859;2299;
378;NC_018289.1;Mycobacterium_phage_Crucio;5859;2300;
379;NC_018289.1;Mycobacterium_phage_CrystalP;5859;2302;
380;NC_018289.1;Mycobacterium_phage_Cuco;5859;2303;
381;NZ_CP016594.1;Gordonia_phage_Cucurbita;1869;5398;
382;NC_018289.1;Mycobacterium_phage_Cueylyss;5859;2304;
383;NC_018289.1;Mycobacterium_phage_Cuke;5859;2305;
384;NZ_CP016594.1;Gordonia_phage_Cynthia;1869;2306;
385;NC_018289.1;Mycobacterium_phage_Czyszczon1;5859;2307;
386;NC_018289.1;Mycobacterium_phage_D29;5859;2308;
387;NC_018289.1;Mycobacterium_phage_Daegal;5859;2309;
388;NC_018289.1;Mycobacterium_phage_Daenerys;5859;2310;
389;NC_018289.1;Mycobacterium_phage_Daffodil;5859;2311;
390;NC_018289.1;Mycobacterium_phage_Daffy;5859;2312;
391;NC_018289.1;Mycobacterium_phage_DaHudson;5859;2313;
392;NC_018289.1;Mycobacterium_phage_Daishi;5859;2314;
393;NC_018289.1;Mycobacterium_phage_Daisy;5859;2315;
394;NC_018289.1;Mycobacterium_phage_Dalmatian;5859;2316;
395;NC_018289.1;Mycobacterium_phage_Dalmuri;5859;2317;
396;NC_018289.1;Mycobacterium_phage_Damien;5859;5399;
397;NC_018289.1;Mycobacterium_phage_Dandelion;5859;5400;
398;NC_018289.1;Mycobacterium_phage_Dante;5859;5401;
399;NZ_CP016594.1;Gordonia_phage_Danyall;1869;2318;
400;NC_018750.1;Streptomyces_phage_Danzina;126;2319;
401;NZ_CP016594.1;Gordonia_phage_Daredevil;1869;2320;
402;NC_018289.1;Mycobacterium_phage_DarthP;5859;2321;
403;NC_018289.1;Mycobacterium_phage_DarthPhader;5859;2322;
404;NZ_CP016594.1;Gordonia_phage_DatBoi;1869;2324;
405;NC_018750.1;Streptomyces_phage_Dattran;126;2325;
406;NC_018289.1;Mycobacterium_phage_DaVinci;5859;2326;
407;NC_018289.1;Mycobacterium_phage_DaWorst;5859;2327;
408;NC_018289.1;Mycobacterium_phage_DBQu4n;5859;2328;
